player_name,position,game_info,stats,salary,fppg,points,game_day,row_number,position_clean,points_numeric
Jacob Saylors,RB,"DET 13 @ GB 27, Final",,$10,—,0.0,Sunday,680,RB,0.0
Israel Abanikanda,RB,"DET 13 @ GB 27, Final",,$10,—,0.0,Sunday,678,RB,0.0
MarShawn LloydIR,RB,"DET 13 @ GB 27, Final",,$10,2.3,0.0,Sunday,671,RB,0.0
Dylan Laube,RB,"LV 20 @ NE 13, Final",,$10,—,0.0,Sunday,548,RB,0.0
Ulysses Bentley IV,RB,"MIA 8 @ IND 33, Final",RUSH ATT,$10,—,0.0,Sunday,367,RB,0.0
Raheem Mostert,RB,"LV 20 @ NE 13, Final",,$10,4.7,0.0,Sunday,540,RB,0.0
Kene NwangwuQ,RB,"PIT 34 @ NYJ 32, Final",,$10,—,0.0,Sunday,325,RB,0.0
Aaron Shampklin,RB,"MIA 8 @ IND 33, Final",,$10,0.6,0.0,Sunday,379,RB,0.0
Mike Boone,RB,"MIA 8 @ IND 33, Final",,$10,1.1,0.0,Sunday,378,RB,0.0
Nay'Quan Wright,RB,"MIA 8 @ IND 33, Final",,$10,—,0.0,Sunday,377,RB,0.0
Nate Noel,RB,"MIA 8 @ IND 33, Final",,$10,—,0.0,Sunday,376,RB,0.0
Tyler GoodsonO,RB,"MIA 8 @ IND 33, Final",,$10,3.0,0.0,Sunday,359,RB,0.0
Khalil Herbert,RB,"MIA 8 @ IND 33, Final",,$10,2.4,0.0,Sunday,357,RB,0.0
Jaylen WrightO,RB,"MIA 8 @ IND 33, Final",,$10,1.9,0.0,Sunday,347,RB,0.0
Lew Nichols,RB,"PIT 34 @ NYJ 32, Final",,$10,—,0.0,Sunday,341,RB,0.0
Lawrance Toafili,RB,"PIT 34 @ NYJ 32, Final",,$10,—,0.0,Sunday,340,RB,0.0
