player_name,position,game_info,stats,salary,points
Dawson Knox,"Dawson Knox
BAL 40 @ BUF 41, Final
2 TGT,2 REC,20 REC YD","BAL 40 @ BUF 41, Final","2 TGT,2 REC,20 REC YD",$10,3.0
New York Giants,3 SACK,"NYG 6 @ WAS 21, Final","21 PTS ALLOWED,3 SACK",$13,3.0
New York Jets,4 SACK,"PIT 34 @ NYJ 32, Final","34 PTS ALLOWED,4 SACK",$14,3.0
Jack Bech,"Jack Bech
LV 20 @ NE 13, Final
TGT,REC,23 REC YD","LV 20 @ NE 13, Final","TGT,REC,23 REC YD",$15,2.8
Kevin Austin Jr.,"Kevin Austin Jr.
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,2.7
Kalif Raymond,"Kalif Raymond
DET 13 @ GB 27, Final
3 TGT,2 REC,16 REC YD","DET 13 @ GB 27, Final","3 TGT,2 REC,16 REC YD",$10,2.6
Jeremy Ruckert,"Jeremy Ruckert
PIT 34 @ NYJ 32, Final
2 TGT,2 REC,16 REC YD","PIT 34 @ NYJ 32, Final","2 TGT,2 REC,16 REC YD",$10,2.6
Cooper Kupp,"Cooper Kupp
SF 17 @ SEA 13, Final
3 TGT,2 REC,15 REC YD","SF 17 @ SEA 13, Final","3 TGT,2 REC,15 REC YD",$18,2.5
K.J. Osborn,"K.J. Osborn
NYG 6 @ WAS 21, Final","NYG 6 @ WAS 21, Final",,$10,2.5
DJ Chark,"DJ Chark
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,2.5
Kendre Miller,"Kendre Miller
ARI 20 @ NO 13, Final
5 RUSH ATT,24 RUSH YD","ARI 20 @ NO 13, Final","5 RUSH ATT,24 RUSH YD",$10,2.4
Charlie Kolar,"Charlie Kolar
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,2.4
Simi Fehoko,"Simi Fehoko
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,2.3
Patrick RicardO,"Patrick RicardO
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,2.2
Blake Corum,"Blake Corum
HOU 9 @ LA 14, Final
RUSH ATT,2 RUSH YD,TGT,REC,14 REC YD","HOU 9 @ LA 14, Final","RUSH ATT,2 RUSH YD,TGT,REC,14 REC YD",$10,2.1
Rakim Jarrett,"Rakim Jarrett
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$10,2.1
Ja'Lynn PolkIR,"Ja'Lynn PolkIR
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,2.1
Jonathon BrooksPUP,"Jonathon BrooksPUP
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$10,2.0
Pittsburgh Steelers,"SACK,","PIT 34 @ NYJ 32, Final","32 PTS ALLOWED,SACK,FUM REC",$18,2.0
Tampa Bay Buccaneers,SACK,"TB 23 @ ATL 20, Final","20 PTS ALLOWED,SACK",$16,2.0
Mike Gesicki,"Mike Gesicki
CIN 17 @ CLE 16, Final
3 TGT,REC,14 REC YD","CIN 17 @ CLE 16, Final","3 TGT,REC,14 REC YD",$15,1.9
Jake BoboO,"Jake BoboO
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,1.9
Jake Haener,"Jake Haener
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$20,1.8
Mitchell Trubisky,"Mitchell Trubisky
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$20,1.7
Kyle Williams,"Kyle Williams
LV 20 @ NE 13, Final
TGT,REC,12 REC YD","LV 20 @ NE 13, Final","TGT,REC,12 REC YD",$14,1.7
Dee Eskridge,"Dee Eskridge
MIA 8 @ IND 33, Final
2 TGT,REC,9 REC YD","MIA 8 @ IND 33, Final","2 TGT,REC,9 REC YD",$10,1.4
Kendric Pryor,"Kendric Pryor
CIN 17 @ CLE 16, Final","CIN 17 @ CLE 16, Final",,$10,1.4
Keaton Mitchell,"Keaton Mitchell
BAL 40 @ BUF 41, Final","BAL 40 @ BUF 41, Final",,$10,1.3
Tank Bigsby,"Tank Bigsby
CAR 10 @ JAC 26, Final
5 RUSH ATT,12 RUSH YD","CAR 10 @ JAC 26, Final","5 RUSH ATT,12 RUSH YD",$15,1.2
