player_name,position,game_info,stats,salary,fppg,points,row_number,position_clean,points_numeric
Connor Bazelak,QB,"TB 23 @ ATL 20, Final",,$20,—,0.0,275,QB,0.0
Kyle Trask,QB,"TB 23 @ ATL 20, Final",,$20,-0.1,0.0,263,QB,0.0
Anthony Richardson Sr.,QB,"MIA 8 @ IND 33, Final",,$21,15.9,0.0,360,QB,0.0
Jason Bean,QB,"MIA 8 @ IND 33, Final",,$20,—,0.0,363,QB,0.0
Riley Leonard,QB,"MIA 8 @ IND 33, Final",,$20,—,0.0,365,QB,0.0
Andy Dalton,QB,"CAR 10 @ JAC 26, Final",,$20,10.8,0.0,380,QB,0.0
Jack Plummer,QB,"CAR 10 @ JAC 26, Final",,$20,—,0.0,389,QB,0.0
Nick Mullens,QB,"CAR 10 @ JAC 26, Final",,$20,0.3,0.0,398,QB,0.0
Seth Henigan,QB,"CAR 10 @ JAC 26, Final",,$20,—,0.0,406,QB,0.0
Jameis Winston,QB,"NYG 6 @ WAS 21, Final",,$20,13.0,0.0,420,QB,0.0
Josh Johnson,QB,"NYG 6 @ WAS 21, Final",,$20,0.2,0.0,437,QB,0.0
Marcus Mariota,QB,"NYG 6 @ WAS 21, Final",,$20,9.2,0.0,438,QB,0.0
Sam Hartman,QB,"NYG 6 @ WAS 21, Final",,$20,—,0.0,451,QB,0.0
Jaxson Dart,QB,"NYG 6 @ WAS 21, Final",,$20,—,0.0,454,QB,0.0
Jacoby Brissett,QB,"ARI 20 @ NO 13, Final",,$20,6.6,0.0,460,QB,0.0
Clayton Tune,QB,"ARI 20 @ NO 13, Final",,$20,-0.4,0.0,466,QB,0.0
Jake Haener,QB,"ARI 20 @ NO 13, Final",,$20,1.8,0.0,483,QB,0.0
Tyler Shough,QB,"ARI 20 @ NO 13, Final",,$20,—,0.0,491,QB,0.0
Hunter Dekkers,QB,"ARI 20 @ NO 13, Final",,$20,—,0.0,494,QB,0.0
Shane Buechele,QB,"BAL 40 @ BUF 41, Final",,$20,—,0.0,745,QB,0.0
