player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day,game_time
Jonathon BrooksPUP,RB,"CAR 13 @ NE 42, Final",,$10,2.0,0.0,211,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Charlie Woerner,TE,"WAS 27 @ ATL 34, Final",,$10,—,0.0,188,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
DeMario Douglas,WR,"CAR 13 @ NE 42, Final",,$12,3.4,0.0,215,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Tommy DeVito,QB,"CAR 13 @ NE 42, Final",,$20,6.7,0.0,216,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Jack Westover,RB,"CAR 13 @ NE 42, Final",,$10,—,0.0,217,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Efton Chism III,WR,"CAR 13 @ NE 42, Final",,$10,—,0.0,218,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Will DisslyO,TE,"LAC 18 @ NYG 21, Final",,$10,1.8,0.0,219,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Trey Lance,QB,"LAC 18 @ NYG 21, Final",,$20,3.4,0.0,220,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Najee HarrisIR,RB,"LAC 18 @ NYG 21, Final",,$10,3.4,0.0,221,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Hassan Haskins,RB,"LAC 18 @ NYG 21, Final",,$10,—,0.0,222,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Tucker Fisk,TE,"LAC 18 @ NYG 21, Final",TGT,$10,—,0.0,223,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Derius DavisO,WR,"LAC 18 @ NYG 21, Final",,$10,-0.5,0.0,224,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Tre' Harris,WR,"LAC 18 @ NYG 21, Final",TGT,$10,1.5,0.0,225,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
KeAndre Lambert-Smith,WR,"LAC 18 @ NYG 21, Final",,$10,—,0.0,226,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Chris Manhertz,TE,"LAC 18 @ NYG 21, Final",,$10,0.6,0.0,227,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Jameis Winston,QB,"LAC 18 @ NYG 21, Final",,$20,13.0,0.0,228,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Gunner Olszewski,WR,"LAC 18 @ NYG 21, Final",,$10,—,0.0,229,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Jalin Hyatt,WR,"LAC 18 @ NYG 21, Final",,$10,0.9,0.0,230,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Eric GrayPUP,RB,"LAC 18 @ NYG 21, Final",,$10,0.9,0.0,231,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Tyrone Tracy Jr.O,RB,"LAC 18 @ NYG 21, Final",,$18,5.4,0.0,232,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Thomas Fidone II,TE,"LAC 18 @ NYG 21, Final",,$10,—,0.0,233,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Beaux Collins,WR,"LAC 18 @ NYG 21, Final",,$10,—,0.0,234,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Ja'Tavion SandersO,TE,"CAR 13 @ NE 42, Final",,$10,4.9,0.0,212,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Jimmy Horn Jr.,WR,"CAR 13 @ NE 42, Final",,$10,—,0.0,213,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Xavier LegetteO,WR,"CAR 13 @ NE 42, Final",,$12,1.4,0.0,210,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Darius CooperIR,WR,"PHI 31 @ TB 25, Final",,$10,—,0.0,199,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Feleipe FranksQ,TE,"WAS 27 @ ATL 34, Final",,$10,—,0.0,189,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Teagan Quitoriano,TE,"WAS 27 @ ATL 34, Final",,$10,—,0.0,190,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Nathan CarterO,RB,"WAS 27 @ ATL 34, Final",,$10,2.6,0.0,191,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
David Sills V,WR,"WAS 27 @ ATL 34, Final",,$10,1.4,0.0,192,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Kylen Granson,TE,"PHI 31 @ TB 25, Final",,$10,0.4,0.0,193,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Jahan Dotson,WR,"PHI 31 @ TB 25, Final",,$10,2.4,0.0,194,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Sam Howell,QB,"PHI 31 @ TB 25, Final",,$20,0.2,0.0,195,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Tank Bigsby,RB,"PHI 31 @ TB 25, Final",,$10,0.4,0.0,196,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Tanner McKee,QB,"PHI 31 @ TB 25, Final",,$20,14.4,0.0,197,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Will Shipley,RB,"PHI 31 @ TB 25, Final",TGT,$10,1.3,0.0,198,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Mike EvansO,WR,"PHI 31 @ TB 25, Final",,$30,9.0,0.0,200,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Teddy Bridgewater,QB,"PHI 31 @ TB 25, Final",,$20,0.1,0.0,201,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Ko KieftIR,TE,"PHI 31 @ TB 25, Final",,$10,—,0.0,202,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Payne Durham,TE,"PHI 31 @ TB 25, Final",,$10,—,0.0,203,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Ryan Miller,WR,"PHI 31 @ TB 25, Final",,$10,2.8,0.0,204,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Sean Tucker,RB,"PHI 31 @ TB 25, Final",,$10,0.1,0.0,205,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Devin Culp,TE,"PHI 31 @ TB 25, Final",,$10,5.7,0.0,206,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Kameron Johnson,WR,"PHI 31 @ TB 25, Final",,$10,—,0.0,207,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Josh Williams,RB,"PHI 31 @ TB 25, Final",,$10,—,0.0,208,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Cameron Latu,TE,"PHI 31 @ TB 25, Final",,$10,—,0.0,209,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Kyle Williams,WR,"CAR 13 @ NE 42, Final","RUSH ATT,-2 RUSH YD",$10,0.9,-0.2,239,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Dylan Sampson,RB,"CLE 10 @ DET 34, Final","RUSH ATT,-2 RUSH YD,TGT",$14,5.7,-0.2,235,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
Kyle Allen,QB,"CLE 10 @ DET 34, Final","2 RUSH ATT,-2 RUSH YD",$20,-0.2,-0.2,236,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
